bp_rp,g_rp
1.3070354,0.7817211
1.3300705,1.5883579
,
2.4737263,1.4440498
1.7498283,0.90008736
1.2000904,0.6431503
1.3255787,0.7559719
1.2378883,0.6721573
1.9964867,1.5601444
0.9044838,0.6987934
1.2354946,0.7009325
0.9328909,0.5551214
1.5498428,1.289154
1.1749973,0.67370796
1.2088566,0.63100433
1.5531664,0.82971096
1.9712143,1.2847157
1.5800247,1.3957043
2.2845058,1.0774784
1.8252068,0.9233227
1.5622234,0.8364897
1.4244871,0.778039
0.65255356,0.57777023
1.4248466,0.7645321
1.4440231,0.76543236
1.3651257,1.0175934
1.9207783,0.87685966
1.1577415,0.69994736
1.0472965,1.0550747
1.245779,0.73898315
2.0085945,1.0050964
1.519062,0.78325844
2.2998657,1.1031151
1.8609486,0.8637371
1.5676517,0.76758575
1.8516445,1.2344666
1.3430138,0.73988914
1.1238146,0.64939976
1.2972507,0.65826416
1.6923466,1.0123329
1.545351,0.830986
2.2221184,1.29706
1.2307987,0.7921753
1.3949795,0.74983597
1.0077305,0.59487724
1.21381,0.68300056
0.8951855,1.1251698
2.140913,1.2507992
2.9565144,1.3263054
1.3998013,0.7477455
1.0215931,0.67111206
1.4771347,0.7965851
1.3932762,0.90176773
2.7664452,1.1795559
1.2848301,0.7335949
1.1945677,0.6843424
2.1248493,1.2332668
2.4619713,1.0930958
1.2608528,0.7326708
1.3089008,0.7305374
1.731514,1.0292759
1.3911362,0.7581272
1.4093351,0.7755728
2.4867668,1.1229439
2.091566,1.0401077
1.2088318,0.68952084
1.4593315,0.7680359
1.5406513,1.0346813
1.1858292,0.7309799
1.7973957,1.4220943
1.1305504,0.2730255
1.2812634,0.7146683
1.6418972,0.87334824
1.6931381,1.0788517
1.8353901,1.2901497
1.6750326,0.8768625
1.0773935,0.6253786
1.9184875,0.88904953
1.5863762,0.84521675
2.1006584,1.0718899
1.2930775,0.7114315
1.9839153,0.9918823
1.220129,0.6882324
2.7901516,1.8200817
2.5471802,1.7934723
1.2758923,0.72169876
1.6665859,0.92028046
1.3061371,0.7233467
1.7186108,0.9161625
1.8039093,1.094368
1.411375,0.78009224
2.083477,0.93453217
1.354929,0.76397896
1.1529083,0.6700764
1.16434,0.66442204
1.8351974,1.0429783
1.4349651,0.77630234
1.500679,1.3308792
1.1093273,0.8144951
1.5872583,0.8401747
1.3769197,0.76587963
1.1888962,0.6771622
1.1036663,0.6522045
1.7256489,1.1687679
1.1730042,0.681612
1.4731636,0.6665573
1.1200418,0.6445875
1.3857822,0.75019073
2.105503,1.0212116
1.4289436,0.78215027
1.1135807,0.59918594
1.6845036,0.8900509
1.6113453,0.8240814
1.2697506,0.6999607
2.8713436,1.2342014
1.2551765,0.7065582
1.2413712,0.7041054
1.469202,0.8334465
2.0254993,1.2428398
0.5615673,0.8540611
1.8182049,1.3004303
1.412363,0.78637314
1.4918289,1.2074833
2.4634132,1.439909
1.5126553,0.84410286
2.5866013,1.379322
1.2512474,0.6908016
2.2138424,1.1522331
1.4499226,0.76898956
0.77178955,0.3780346
2.057724,1.4228783
2.0090427,0.96437645
1.7142563,0.8526859
1.7306957,0.88803864
1.7654247,1.0336399
0.8174515,0.9116802
1.4968624,0.69558144
1.7870846,1.2865143
1.856842,1.0071526
1.3368454,0.7702465
1.3500729,1.0159664
1.7660332,0.8942585
2.1487637,1.08568
1.549675,0.8327694
1.2005177,0.67490005
1.8096161,1.2924671
2.4978046,1.1402454
1.2485046,0.7084751
1.6319923,0.8618374
1.4263248,0.766716
1.2908916,0.6981735
1.1398544,0.6616707
2.6650734,1.0997944
1.269989,0.7111263
1.5426998,0.8235359
1.9454975,1.0629578
1.1547966,0.7924175
0.5909977,0.85137177
1.2173862,0.64004517
1.7895584,0.9155903
1.3195229,0.6836128
1.9470673,1.1873989
1.1027603,0.6118088
1.2276955,0.70049095
2.8945866,1.2596359
0.94003487,0.5683861
1.3368664,0.7385826
1.1433468,0.6236801
1.5447502,0.80775833
2.120037,1.5807247
2.2413025,1.2339573
2.3755627,1.4970512
1.4827557,0.75372505
1.8509464,1.4604797
1.2385092,0.70449734
1.3034935,0.7141342
1.4322376,0.7698555
2.1030731,1.2595596
1.7113361,1.2132397
2.0364876,1.2172031
1.414257,0.7757969
2.5722256,1.13698
1.2643108,0.7798042
2.4363842,1.114294
0.9435406,0.9901295
1.2127924,0.6888838
0.7808876,0.58745
1.9126434,1.1095219
1.0199032,1.0437622
1.230957,0.69742966
1.2456207,0.7283249
1.594101,0.8350544
1.5848141,0.9684162
1.2596054,0.8015137
2.516262,1.136507
0.8441696,0.69335747
1.5264931,0.81844044
1.1216984,0.6276283
1.5229301,0.8712845
1.2954407,0.6951504
0.91415787,0.61922264
1.263094,0.67136765
2.389944,1.123848
2.4372253,1.0751133
2.0739937,1.1004848
2.9089565,1.2138824
1.2221622,0.6947689
1.9788971,0.95248413
2.2180653,3.4480515
1.8322697,1.3720951
1.5100517,1.2177525
1.5988293,0.899065
1.488718,0.779356
1.3475399,0.7437496
1.3968582,0.78253937
,0.9003334
1.1781254,0.61660576
1.5184422,0.8182869
1.8502693,1.2953815
1.230155,0.7063303
1.5910797,0.84082603
1.4852734,0.80890465
1.5824633,0.8416796
2.2379436,1.132
2.4998665,1.2777996
1.5741291,0.8144436
0.9866257,0.80382156
0.9876671,1.1588917
1.5015411,0.80960846
1.2109623,0.6924734
1.2478771,0.7813339
1.7868652,0.8850937
1.9258289,0.9661007
2.1472778,1.0772533
1.3008041,1.187479
1.5093231,0.9013729
1.4851007,0.8066492
1.4484692,0.71779823
0.6390877,0.6490383
1.3573446,0.7518215
1.6468658,0.8628826
2.1135063,1.0183601
2.6320972,1.1837826
1.1086788,0.7381573
1.9135923,0.9610472
1.3190804,0.7087631
1.5517197,0.79846954
1.179596,0.66615677
1.1658154,0.37666702
1.2133045,0.9734707
1.3600368,1.0927906
1.3495026,1.119379
1.5468063,0.83524036
1.9947186,1.1570377
2.3421898,1.0858898
